#current test-bed topology for ndnSIM, converted by Ertugrul DOGRULUK, university of minho

router

#node comment yPos xPos

leaf-33103	NA	35.5 -120
leaf-33104	NA	35.5 -120
leaf-33102	NA	35.5 -120
leaf-33101	NA	35.5 -120
leaf-33100	NA	35.5 -120
leaf-33105	NA	35.5 -120
leaf-33106	NA	35.5 -120
leaf-33107	NA	-3.7 -49.6
leaf-33109	NA	-3.7 -49.6
leaf-33111	NA	-3.7 -49.6
leaf-33108	NA	-3.7 -49.6
leaf-33119	NA	-3.7 -49.6
leaf-33140	NA	-3.7 -49.6
leaf-33142	NA	-3.7 -49.6
leaf-33143	NA	-3.7 -49.6
leaf-33144	NA	-3.7 -49.6
leaf-33141	NA	-3.7 -49.6
leaf-43061	NA	40.60260390 -88.23171080000002
leaf-43064	NA	40.60260390 -88.23171080000002
leaf-43065	NA	40.60260390 -88.23171080000002
leaf-43067	NA	40.60260390 -88.23171080000002
leaf-43068	NA	40.60260390 -88.23171080000002
leaf-43070	NA	40.60260390 -88.23171080000002
leaf-43069	NA	40.60260390 -88.23171080000002
leaf-43094	NA	40.60260390 -88.23171080000002
leaf-43093	NA	40.60260390 -88.23171080000002
leaf-43079	NA	40.60260390 -88.23171080000002
leaf-43095	NA	41.3359 -3.8732
leaf-43097	NA	41.3359 -3.8732
leaf-43098	NA	41.3359 -3.8732
leaf-43103	NA	41.3359 -3.8732
leaf-43104	NA	41.3359 -3.8732
leaf-43102	NA	41.3359 -3.8732
leaf-43101	NA	41.3359 -3.8732
leaf-43100	NA	41.3359 -3.8732
leaf-43105	NA	41.3359 -3.8732
leaf-43106	NA	41.3359 -3.8732
leaf-43107	NA	6.6 100.3
leaf-43109	NA	6.6 100.3
leaf-43111	NA	6.6 100.3
leaf-43108	NA	6.6 100.3
leaf-43119	NA	6.6 100.3
leaf-43140	NA	6.6 100.3
leaf-43142	NA	6.6 100.3
leaf-43143	NA	6.6 100.3
leaf-43144	NA	6.6 100.3
leaf-43141	NA	6.6 100.3
leaf-53107	NA	35.8092 139.7193
leaf-53109	NA	35.8092 139.7193
leaf-53111	NA	35.8092 139.7193
leaf-53108	NA	35.8092 139.7193
